,PLEXOS Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base,6071.37391395,5906.40551982,5732.21312584,5655.92707343,5600.06437451,5576.09761283,5551.37700958,5571.00600506,5617.27196603,5714.34735562,5959.51538574,6173.63282404,6424.78019658,6723.2570858,7022.5062053,7513.06136783,7832.84796773,8134.40652777,8424.88750138,8669.82477986,9017.23461337,9233.85705303,9442.08224983,9646.90379473,9827.68019144,10093.60515531,10247.51179153,10412.75079273,10535.8565534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emisison intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No gas - conservative,563.685484172139,534.905429240453,499.907480958339,491.645397643654,488.35394953014,459.23698632947,448.360382639246,351.339047052673,322.710977216786,273.264867405504,250.747134897185,222.086946955856,187.338375705942,196.355542271059,202.243505875169,206.018591575083,210.23045704342,192.978877111191,193.623821434446,199.138093041181,232.365788797462,224.657638061907,205.160595763173,0,0,0,0,0,0
,Base,563.685484170904,534.905429236644,499.907480955722,491.645397646306,488.35394953282,459.23698633216,448.360382639246,328.256508252103,275.889097456639,159.97616926917,149.781163241374,134.353063088908,113.509673634314,125.264352875968,131.309450455104,128.641507485736,128.72164777969,117.842790311992,126.301893052127,128.563293076495,159.891607408246,155.187799608158,138.885022704723,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reference Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,MT of emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HECO IGP,2.853825,,,,,,,,2.853825,,,,,1.14885,,,,,0.857325,,,,,0.000075,,,,,
,HSEO 2023,3.89271237057,,,,,,,,0.85875,,,,,0.384,,,,,0.498,,,,,0,,,,,
,HSEO 2024,3.4223453442675,3.159368379825,2.86557622404,2.780710515075,2.73481355493,2.56075026321,2.48901752019,1.82871897867249,1.5497440928765,0.9141593998255,0.892623146831,0.829446480296,0.729274703286,0.8421844480715,0.9221214306355,0.9664915401905,1.008257097214,0.9585811627645,1.0640792401755,1.114621224095,1.441780136709,1.432981957956,1.3113638076475,0,0,0,0,0,0
,Previous,3.89271237057,3.9896511122475,3.85573132977,3.948566330655,4.191992299035,4.204028375343,3.9075707239275,3.28434305922,3.093875696415,2.96751246396,3.164039127929,3.0216277886095,2.9012340321745,2.8599850416135,3.2355093821045,3.210998505709,3.205760589264,3.4972081735525,2.5665274013065,2.511778359097,2.5719286343265,2.499245923752,2.4439045282475,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Generation (no Dist. Solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HECO IGP,5083.5,,,,,,,,6952.5,,,,,7220,,,,,7705.5,,,,,6361.3,,,,,
,HSEO 2023,6286.60800139,,,,,,,,6299,,,,,7085,,,,,7666,,,,,8338,,,,,
