,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonnes LNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
HDR High, - , - , - , - , - , - ," 149,385.4 "," 166,274.5 "," 201,526.0 "," 372,086.2 "," 356,027.1 "," 350,420.1 "," 322,231.2 "," 341,759.2 "," 369,838.8 "," 417,071.7 "," 415,233.1 "," 460,045.6 "," 493,618.9 "," 501,312.3 "," 621,022.5 "," 621,952.6 "," 639,199.6 ", - ,,,,,
Base, - , - , - , - , - , - , - ," 47,026.2 "," 96,650.8 "," 257,380.6 "," 252,242.4 "," 246,256.0 "," 222,216.9 "," 234,266.9 "," 242,743.8 "," 287,022.2 "," 295,938.3 "," 287,654.6 "," 316,876.1 "," 341,746.6 "," 447,290.1 "," 444,977.9 "," 408,085.0 ", - ,,,,,
HDR Low, - , - , - , - , - , - ," 54,216.2 "," 51,295.7 "," 52,045.1 "," 187,990.4 "," 192,036.0 "," 178,181.1 "," 171,769.7 "," 159,328.1 "," 153,780.6 "," 221,315.4 "," 182,649.3 "," 202,556.7 "," 203,360.4 "," 198,607.5 "," 282,711.5 "," 264,392.4 "," 277,355.4 ", - ,,,,,
