,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Base is based on NREL Conservative Load Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BATTERY,,0,64.92903627,176.43207038,186.22270112,195.07865392,207.56634696,207.84410566,479.33039822,789.91142242,899.79393057,942.67995114,983.75451219,1037.4074009,1147.08901531,1106.87511557,1166.25166950999,1201.23864417,1261.86854636999,1338.8016633,1308.03749615,1347.16852211999,1388.23558302,1369.55704265,1361.15479428,1525.84516868,1600.19209363,1554.09856946,1684.56624541999,1780.0552008,,,,
,,80NAPTHTHA 20BIODIESEL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,BIOMASS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,BIODIESEL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05266589,14.22847709,6.65035299,6.27535696,13.89238088,13.60456777,,,,
,,BIOGAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,REFUSE,,582.0582,582.0582,583.65288,582.0582,582.0582,582.0582,583.65288,582.0582,582.0582,582.0582,583.65288,582.0582,582.0582,582.0582,583.65288,582.0582,582.0582,582.0582,583.65288,582.0582,582.0582,582.0582,583.65288,582.0582,582.0582,582.0582,583.65288,582.0582,582.0582,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,total gen costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OIL,,1414914344.51991,1100987466.68641,1060768476.77903,1046893094.12299,1086544203.31817,1059571511.08275,1085416392.44177,822368482.858172,652904276.81352,269874224.724485,269328060.544129,213884969.770916,207307841.292767,244529110.045332,273844980.5975,237019162.822236,245589151.246869,239480260.790156,251119657.247256,241420645.990315,247540114.806528,251451195.830517,250100965.740246,0,0,0,0,0,0,,,,
,,GAS_CCGT,,0,0,0,0,0,0,0,50464802.3639864,107674100.761365,265263438.119501,298256472.5777,304243361.546207,296107975.073526,317422524.787635,342891496.929695,431951963.457412,460779878.227369,482186556.651328,546877574.061056,616578639.88885,793511383.098758,826504837.247303,827987098.774749,317769601.863259,335300523.553731,343687977.767645,361376458.58932,368827298.888356,376415404.882082,,,,
,,GAS_OCGT,,0,0,0,0,0,0,0,0,0,47213579.4510645,37729132.0878937,38081559.462404,36381630.210514,38530626.4059174,40626205.4188059,41063089.9345025,38691702.7601822,37278281.7840992,38538914.5544868,37363342.2966963,44818497.5639177,46224237.5128627,38419957.4539225,22025865.1106981,22409455.5694126,22868963.471573,23262385.1114928,23704337.126437,23994607.5350446,,,,
,,HYDROGEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957163482.163317,877890731.817823,892734292.507467,1051581978.08464,984013606.65023,984840399.471711,,,,
,,SOLAR,,94707540.4453432,60150317.2933035,82345571.7676226,81264019.9051639,86316562.1173039,113864968.998953,128615940.146576,133779128.025592,136141629.499128,137678904.653023,140026208.543632,140841514.500783,144140838.985967,149710014.398712,156247004.046623,173079419.762169,191441457.019891,205800874.337075,230067878.333671,231454606.836501,251630990.484149,270804896.003222,288467911.243951,308441663.019997,330614093.915808,353355380.125978,374655507.802135,398448205.095211,422818036.670975,,,,
,,Rooftop solar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,GEOTHERMAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,WIND,,55920269.8346348,21552422.2489564,25407376.3394473,25147770.4104749,24988971.2245029,25555519.6364902,25335794.3749108,58543469.9601344,57620002.5380716,58437929.9181356,59258525.0600842,60081624.3578899,60907055.2529166,61734635.6575735,62564173.8016196,63395467.8863568,59976257.4084298,65062463.5822356,65897707.7266408,66733791.8408365,67570457.9513923,68407435.5204874,69244441.0616793,70368177.7940946,71204335.0660822,72039587.8941324,72873596.5402238,73706005.8586277,74536444.8732525,,,,
,,OFFSHORE_WIND,,0,0,0,0,0,0,0,0,0,36879874.4432848,74367981.4977915,112556164.630651,151526017.463914,191351541.536087,271021753.231884,274138168.37212,277412050.876616,280837354.833214,284409218.246589,288123754.294446,292377887.781208,296369226.239523,300495956.361645,305156761.26234,309550752.843333,314077416.581697,319136566.118171,323928305.82465,329252999.26235,,,,
,,HYDRO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,BATTERY,,0,28051586.5612505,26592532.8799123,25207495.4497827,24788738.0589379,24487171.8644474,24019327.0286815,76277988.588242,142274736.231982,149278444.927931,157311981.699081,164532028.424348,171839815.620353,179233113.448927,187787720.94964,195379455.567705,203048641.603989,211975349.165656,219824632.346387,227741015.698824,237008732.703666,245081961.058425,253209309.683493,261385803.954838,271034370.430649,279327821.659605,287653339.564516,296004459.290004,305942551.158805,,,,
,,80NAPTHTHA 20BIODIESEL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,BIOMASS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,BIODIESEL,,1764093.74480565,1607146.72023988,1631853.69953798,1659282.30952611,1689751.56646694,1709287.40612698,1732032.70718885,1764995.58493154,1800312.48325251,1838126.05481,1864301.4994408,1898842.52310611,1935945.26367598,1973521.31392964,2009280.3153263,2039768.34247444,2078747.33095577,2120684.40856814,2158203.55605616,2198693.54864538,2239700.0070109,2281229.36697345,2323288.08791638,182556252.826148,190955076.788562,189099983.327681,192285665.285036,213536822.033293,216879154.347694,,,,
,,BIOGAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,REFUSE,,53626469.0942409,54644470.5763011,55868275.5288085,57219727.0488764,58347562.4144221,59430588.0993143,60574264.5859175,61790112.6872926,62894589.4902213,64067509.2619494,65152572.1790725,66301437.692557,67523540.4874174,68751520.907104,69949538.7067757,71200519.7691347,72475351.5695992,73781870.0239454,75122543.1108052,76448150.163807,77776239.4299258,79194754.1723098,80681472.3481125,82179784.5137175,83690629.4593203,85104555.2094516,86580222.8515271,88104725.3129115,88957829.3176457,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,total cost,"$20,226,079,844 ",1620932717.63893,1266993410.08646,1252614086.99436,1237391389.24681,1282675788.6998,1284619047.08808,1325693751.28504,1204988980.06835,1161309647.81754,1030532031.55419,1103295235.68882,1102421502.90886,1137670659.65105,1253236608.50122,1406942153.99787,1489267015.91411,1551493238.0439,1598523695.57628,1714016329.18295,1788062640.55892,2014474003.82656,2086319772.95162,2110930400.75571,2507047392.50841,2492649969.44472,2552295978.54523,2769405719.94706,2770273766.07972,2823637427.51956,,,,
,,total cost - HSEO,"$20,975,563,278 ","$1,265,273,277.89 "," $1,318,746,567.6 "," $1,300,996,794.8 "," $1,333,586,353.6 "," $1,372,800,332.6 "," $1,367,489,343.1 "," $1,416,437,003.9 "," $1,307,120,217.4 "," $1,320,325,801.3 "," $1,238,848,887.0 "," $1,309,532,148.6 "," $1,274,782,758.7 "," $1,306,286,443.0 "," $1,438,644,378.6 "," $1,518,041,152.0 "," $1,610,797,939.9 "," $1,656,514,329.0 "," $1,698,411,100.4 "," $1,809,390,773.5 "," $1,849,589,943.7 "," $2,078,938,620.9 "," $2,155,259,240.7 "," $2,177,918,826.1 "," $2,561,010,922.1 "," $2,325,229,205.2 "," $2,380,592,121.3 "," $2,595,316,728.1 "," $2,588,517,518.0 ",2643104266.58611,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technology,No Gas,"LNG/3A/""Base""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OIL,921.5,721.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GAS_CCGT,0,580.79725728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GAS_OCGT,0,71.03090446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HYDROGEN,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOLAR,1678.16035588,1382.58170354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rooftop solar,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GEOTHERMAL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIND,287,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFFSHORE_WIND,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HYDRO,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BATTERY,1218.25,1218.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80NAPTHTHA 20BIODIESEL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIOMASS,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIODIESEL,459.82816173,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIOGAS,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REFUSE,68.5,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
