Year,Oil,Refuse,Biodiesel,Solar,Onshore Wind,Battery storage (4-hour),Geothermal,80% Naphtha / 20% Biodiesel,Offshore Wind,Biomass,Pumped Storage Hydro,CCGT: NG/RNG,CCGT with CCS (90% capture),CCGT: H2,Future_4HR_BATTERY,Future Solar,Future Onshore Wind,FUTURE BIODIESEL NAPHTHA,Future Biodiesel,Future Biomass,Future Hydrogen CCGT,Future Refuse,Future LNG CCGT,Future converted Hydrogen CCGT,Future Oil,Future Biogas,Future Offshore Wind,Future_Maui_4HR_BATTERY,Future Maui Solar,Future Maui Onshore Wind,FUTURE MAUI BIODIESEL NAPHTHA,Future Maui Biodiesel,Future Maui Biomass,Future Maui Hydrogen CCGT,Future Maui Refuse,Future Maui LNG CCGT,Future Maui converted Hydrogen CCGT,Future Maui Oil,Future Maui Biogas,Future Maui Offshore Wind,Future_Hawaii_4HR_BATTERY,Future Hawaii Solar,Future Hawaii Onshore Wind,FUTURE Hawaii BIODIESEL NAPHTHA,Future Hawaii Biodiesel,Future Hawaii Biomass,Future Hawaii Hydrogen CCGT,Future Hawaii Refuse,Future Hawaii LNG CCGT,Future Hawaii converted Hydrogen CCGT,Future Hawaii Oil,Future Hawaii Biogas,Future Hawaii Offshore Wind,Future Hawaii LNG OCGT,Future Maui LNG OCGT,Future LNG OCGT,
2031,36.05980788,7.485537815,7.71594,0,0,0,0,7.715938039,0,7.485537815,0.782276648,2.717759552,5.435519104,2.717759552,0,0,0,7.7,7.7,7.5,2.7,7.5,2.7,2.7,36.1,2.7,0,0,0,0,7.7,7.7,7.5,2.7,7.5,2.7,2.7,36.1,2.7,0,0,0,0,7.7,7.7,7.5,2.7,7.5,2.7,2.7,36.1,2.7,0,2.7,2.7,2.717759552,
2032,36.89934819,7.659815247,7.895579622,0,0,0,0,7.895579622,0,7.659815247,0.800489523,2.781034118,5.562068236,2.781034118,0,0,0,7.9,7.9,7.7,2.8,7.7,2.8,2.8,36.9,2.8,0,0,0,0,7.9,7.9,7.7,2.8,7.7,2.8,2.8,36.9,2.8,0,0,0,0,7.9,7.9,7.7,2.8,7.7,2.8,2.8,36.9,2.8,0,2.8,2.8,2.781034118,
2033,37.75843457,7.838150186,8.0794036,0,0,0,0,8.0794036,0,7.838150186,0.819126428,2.845781835,5.69156367,2.845781835,0,0,0,8.1,8.1,7.8,2.8,7.8,2.8,2.8,37.8,2.8,0,0,0,0,8.1,8.1,7.8,2.8,7.8,2.8,2.8,37.8,2.8,0,0,0,0,8.1,8.1,7.8,2.8,7.8,2.8,2.8,37.8,2.8,0,2.8,2.8,2.845781835,
2034,38.63752211,8.020637098,8.267507347,0,0,0,0,8.267507347,0,8.020637098,0.838197236,2.912037001,5.824074001,2.912037001,0,0,0,8.3,8.3,8,2.9,8,2.9,2.9,38.6,2.9,0,0,0,0,8.3,8.3,8,2.9,8,2.9,2.9,38.6,2.9,0,0,0,0,8.3,8.3,8,2.9,8,2.9,2.9,38.6,2.9,0,2.9,2.9,2.912037001,
2035,39.53707646,8.20737265,8.459990503,0,0,0,0,8.459990503,0,8.20737265,0.857712048,2.979834712,5.959669423,2.979834712,0,0,0,8.5,8.5,8.2,3,8.2,3,3,39.5,3,0,0,0,0,8.5,8.5,8.2,3,8.2,3,3,39.5,3,0,0,0,0,8.5,8.5,8.2,3,8.2,3,3,39.5,3,0,3,3,2.979834712,
2036,40.45757414,8.398455757,8.656955031,0,0,0,0,8.656955031,0,8.398455757,0.877681201,3.049210881,6.098421763,3.049210881,0,0,0,8.7,8.7,8.4,3,8.4,3,3,40.5,3,0,0,0,0,8.7,8.7,8.4,3,8.4,3,3,40.5,3,0,0,0,0,8.7,8.7,8.4,3,8.4,3,3,40.5,3,0,3,3,3.049210881,
2037,41.39950273,8.59398764,8.858505264,0,0,0,0,8.858505264,0,8.59398764,0.898115274,3.120202259,6.240404518,3.120202259,0,0,0,8.9,8.9,8.6,3.1,8.6,3.1,3.1,41.4,3.1,0,0,0,0,8.9,8.9,8.6,3.1,8.6,3.1,3.1,41.4,3.1,0,0,0,0,8.9,8.9,8.6,3.1,8.6,3.1,3.1,41.4,3.1,0,3.1,3.1,3.120202259,
2038,42.3633612,8.794071873,9.064747966,0,0,0,0,9.064747966,0,8.794071873,0.919025091,3.19284645,6.385692899,3.19284645,0,0,0,9.1,9.1,8.8,3.2,8.8,3.2,3.2,42.4,3.2,0,0,0,0,9.1,9.1,8.8,3.2,8.8,3.2,3.2,42.4,3.2,0,0,0,0,9.1,9.1,8.8,3.2,8.8,3.2,3.2,42.4,3.2,0,3.2,3.2,3.19284645,
2039,43.34966011,8.998814445,9.275792387,0,0,0,0,9.275792387,0,8.998814445,0.940421727,3.267181934,6.534363868,3.267181934,0,0,0,9.3,9.3,9,3.3,9,3.3,3.3,43.3,3.3,0,0,0,0,9.3,9.3,9,3.3,9,3.3,3.3,43.3,3.3,0,0,0,0,9.3,9.3,9,3.3,9,3.3,3.3,43.3,3.3,0,3.3,3.3,3.267181934,
2040,44.35892192,9.208323809,9.49175032,0,0,0,0,9.49175032,0,9.208323809,0.962316518,3.343248088,6.686496177,3.343248088,0,0,0,9.5,9.5,9.2,3.3,9.2,3.3,3.3,44.4,3.3,0,0,0,0,9.5,9.5,9.2,3.3,9.2,3.3,3.3,44.4,3.3,0,0,0,0,9.5,9.5,9.2,3.3,9.2,3.3,3.3,44.4,3.3,0,3.3,3.3,3.343248088,
