GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121504,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121506,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121508,0.30820355
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121510,0.81497556
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121512,0.6752734
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121514,0.8172134
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121516,0.52387136
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121518,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121520,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707121522,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022000,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022002,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022004,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022006,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022008,0.6886577
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022010,0.95564985
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022012,0.90019965
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022014,0.4734153
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022016,0.14228754
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022018,-0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022020,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708022022,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041000,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041002,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041004,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041006,0.0017969635
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041008,0.27043864
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041010,0.55855036
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041012,0.36716163
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041014,0.31164584
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041016,0.34700403
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041018,0.0073141363
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041020,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708041022,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061700,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061702,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061704,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061706,0.052879766
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061708,0.46134275
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061710,0.8969385
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061712,0.42046297
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061714,0.29935333
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061716,0.10752059
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061718,0.04694716
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061720,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708061722,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081800,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081802,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081804,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081806,0.020501139
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081808,0.92967415
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081810,0.7355059
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081812,0.6884368
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081814,0.9507228
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081816,0.4596025
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081818,0.09696876
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081820,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708081822,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091000,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091002,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091004,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091006,0.0081987465
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091008,0.84725296
