scenario,day,hour,series,mw
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Wind,22.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Utility solar,1552.8
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Battery discharge (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Battery charging (net),-922.6
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Curtailed solar & wind,84.6
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,EV charging,-20.4
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,10,Demand,870.9
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Geothermal,93.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Waste-to-energy,42.8
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Thermal (oil/LNG),103.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Wind,19.2
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Utility solar,1089.5
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Battery discharge (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Battery charging (net),-593.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Curtailed solar & wind,902.3
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,EV charging,-23.4
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,12,Demand,731.3
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Geothermal,93.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Waste-to-energy,42.8
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Thermal (oil/LNG),103.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Wind,10.3
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Utility solar,1942.9
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Battery discharge (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Battery charging (net),-1099.3
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Curtailed solar & wind,35.9
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,EV charging,-279.3
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,14,Demand,813.6
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Geothermal,93.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Waste-to-energy,42.8
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Thermal (oil/LNG),103.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Wind,34.2
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Utility solar,1663.7
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Rooftop solar,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Battery discharge (net),0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Battery charging (net),-857.6
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Curtailed solar & wind,0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,EV charging,-30.7
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Hydrogen production,-0.0
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,16,Demand,1048.7
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,18,Geothermal,93.1
nlv2b_C4_NOTHERMAL_refbrent,2035-08-18,18,Waste-to-energy,42.8
