scenario,period,cost_real_musd_yr,demand_gwh_yr,cost_per_mwh
nlv2b_C1_LSFO250_highbrent_adv,2040,1518.9,7080.0,214.53
nlv2b_C1_LSFO250_highbrent_adv,2045,1279.97,7218.2,177.33
nlv2b_C1_LSFO250_highbrent_adv,2050,1095.18,7391.2,148.17
nlv2b_C1_LSFO250_lowbrent,2027,1219.6,6776.1,179.99
nlv2b_C1_LSFO250_lowbrent,2030,1088.64,6856.2,158.78
nlv2b_C1_LSFO250_lowbrent,2035,1049.95,6940.2,151.28
nlv2b_C1_LSFO250_lowbrent,2040,1191.36,7080.0,168.27
nlv2b_C1_LSFO250_lowbrent,2045,1320.99,7218.2,183.01
nlv2b_C1_LSFO250_lowbrent,2050,1178.93,7391.2,159.51
nlv2b_C1_LSFO250_lowbrent_adv,2027,1212.37,6776.1,178.92
nlv2b_C1_LSFO250_lowbrent_adv,2030,1067.94,6856.2,155.76
nlv2b_C1_LSFO250_lowbrent_adv,2035,1017.1,6940.2,146.55
nlv2b_C1_LSFO250_lowbrent_adv,2040,1124.62,7080.0,158.84
nlv2b_C1_LSFO250_lowbrent_adv,2045,1183.52,7218.2,163.96
nlv2b_C1_LSFO250_lowbrent_adv,2050,1034.73,7391.2,140.0
nlv2b_C1_LSFO250_refbrent,2027,1463.18,6776.1,215.93
nlv2b_C1_LSFO250_refbrent,2030,1457.95,6856.2,212.65
nlv2b_C1_LSFO250_refbrent,2035,1433.37,6940.2,206.53
nlv2b_C1_LSFO250_refbrent,2040,1433.74,7080.0,202.5
nlv2b_C1_LSFO250_refbrent,2045,1333.77,7218.2,184.78
nlv2b_C1_LSFO250_refbrent,2050,1196.98,7391.2,161.95
nlv2b_C1_LSFO250_refbrent_adv,2027,1503.85,6776.1,221.94
nlv2b_C1_LSFO250_refbrent_adv,2030,1465.88,6856.2,213.8
nlv2b_C1_LSFO250_refbrent_adv,2035,1412.52,6940.2,203.53
nlv2b_C1_LSFO250_refbrent_adv,2040,1406.77,7080.0,198.7
nlv2b_C1_LSFO250_refbrent_adv,2045,1240.43,7218.2,171.85
nlv2b_C1_LSFO250_refbrent_adv,2050,1056.06,7391.2,142.88
nlv2b_C2_LSFO375_futbrent,2027,1388.35,6776.1,204.89
nlv2b_C2_LSFO375_futbrent,2030,1355.88,6856.2,197.76
nlv2b_C2_LSFO375_futbrent,2035,1351.36,6940.2,194.71
nlv2b_C2_LSFO375_futbrent,2040,1354.98,7080.0,191.38
nlv2b_C2_LSFO375_futbrent,2045,1349.41,7218.2,186.95
nlv2b_C2_LSFO375_futbrent,2050,1208.24,7391.2,163.47
nlv2b_C2_LSFO375_futbrent_adv,2027,1400.98,6776.1,206.75
nlv2b_C2_LSFO375_futbrent_adv,2030,1345.06,6856.2,196.18
nlv2b_C2_LSFO375_futbrent_adv,2035,1305.5,6940.2,188.11
nlv2b_C2_LSFO375_futbrent_adv,2040,1301.82,7080.0,183.87
nlv2b_C2_LSFO375_futbrent_adv,2045,1232.3,7218.2,170.72
nlv2b_C2_LSFO375_futbrent_adv,2050,1077.69,7391.2,145.81
nlv2b_C2_LSFO375_highbrent,2027,1541.22,6776.1,227.45
nlv2b_C2_LSFO375_highbrent,2030,1604.36,6856.2,234.0
