GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022004,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022006,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022008,0.69009584
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022010,0.956982
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022012,0.8704858
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022014,0.46072337
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022016,0.14786042
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022018,-0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022020,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022022,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041000,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041002,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041004,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041006,0.0017524998
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041008,0.24846973
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041010,0.5227576
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041012,0.36906794
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041014,0.3057465
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041016,0.35491198
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041018,0.0074430546
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041020,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041022,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061700,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061702,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061704,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061706,0.05273316
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061708,0.47743002
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061710,0.83007497
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061712,0.43614176
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061714,0.30192956
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061716,0.101192474
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061718,0.044518758
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061720,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708061722,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081800,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081802,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081804,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081806,0.020871948
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081808,0.91161656
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081810,0.6890904
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081812,0.69063646
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081814,0.9162806
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081816,0.5166204
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081818,0.08999038
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081820,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708081822,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091000,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091002,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091004,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091006,0.0083801495
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091008,0.85689735
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091010,0.8557011
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091012,0.7317705
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091014,0.68290067
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091016,0.7648533
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091018,0.0057578064
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091020,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708091022,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112208,0.011252442
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112210,0.023782993
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112212,0.09120489
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112214,0.28424582
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112216,0.080686346
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708112222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011208,0.47537926
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011210,0.8354656
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011212,0.801756
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011214,0.80249745
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011216,0.6930421
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011900,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011902,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011904,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011906,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011908,0.51318306
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011910,0.54074925
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011912,0.582301
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011914,0.42670164
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011916,0.15644857
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011918,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011920,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007011922,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021208,0.64238805
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021210,0.9587104
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021212,0.93350005
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021214,0.9403035
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021216,0.77151734
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007021222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050206,0.05028084
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050208,0.80838835
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050210,1.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050212,0.9533493
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050214,0.55183476
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050216,0.86525804
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050218,0.06599765
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007050222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092206,0.0030348063
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092208,0.8788711
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092210,0.99103004
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092212,0.8507497
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092214,0.8660235
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092216,0.87207294
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007092222,0.0
