GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_min_build_capacity,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_Airport_DSG,Oahu,Airport_DSG,0.000000,8.0,8.0,.,61,0.0,0,0,0,0,20.264858,multiple,.,1.0,1.0,0.125,.,.,.
Oahu_Battery_Bulk,Oahu,Battery_Bulk,0.000000,3000.0,.,.,15,0.0,0,0,0,0,0.000000,Battery,.,.,.,.,0.9,.,365.0
Oahu_Battery_Conting,Oahu,Battery_Conting,0.000000,3000.0,.,.,15,0.0,0,0,0,0,0.000000,Battery,.,.,.,.,0.9,0.0,.
Oahu_Battery_Reg,Oahu,Battery_Reg,0.000000,3000.0,.,.,15,0.0,0,0,0,0,0.000000,Battery,.,.,.,.,0.9,0.0,.
Oahu_CIP_CT,Oahu,CIP_CT,0.000000,113.0,113.0,.,61,0.0,0,0,0,0,5.055565,multiple,.,1.0,1.0,1.1150442477876106,.,.,.
Oahu_CentralTrackingPV_Constrained_C_PV_01,Oahu,CentralTrackingPV_Constrained_C,31804.033102,551.9425505831092,.,.,30,0.0,0,1,0,0,0.000000,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Constrained_C_PV_02,Oahu,CentralTrackingPV_Constrained_C,26978.401897,304.0646604656729,.,.,30,0.0,0,1,0,0,0.000000,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Constrained_C_PV_03,Oahu,CentralTrackingPV_Constrained_C,22280.870059,325.5586575597908,.,.,30,0.0,0,1,0,0,0.000000,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Constrained_C_PV_04,Oahu,CentralTrackingPV_Constrained_C,16811.189009,144.456946377596,.,.,30,0.0,0,1,0,0,0.000000,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Constrained_C_PV_05,Oahu,CentralTrackingPV_Constrained_C,10353.239804,51.29866773495756,.,.,30,0.0,0,1,0,0,0.000000,SUN,.,.,.,.,.,.,.
