LOAD_ZONE,TIMEPOINT,ev_bau_mw
Oahu,2707011200,4.827825165802053
Oahu,2707011202,3.4974588082886466
Oahu,2707011204,3.5138075366969184
Oahu,2707011206,4.249171513827458
Oahu,2707011208,6.493294788845923
Oahu,2707011210,11.156408799276583
Oahu,2707011212,12.791098972747335
Oahu,2707011214,15.597417570918212
Oahu,2707011216,16.796263431739373
Oahu,2707011218,27.066187549838887
Oahu,2707011220,25.10945482682864
Oahu,2707011222,6.292634697711984
Oahu,2707011900,4.827825165802053
Oahu,2707011902,3.4974588082886466
Oahu,2707011904,3.5138075366969184
Oahu,2707011906,4.249171513827458
Oahu,2707011908,6.493294788845923
Oahu,2707011910,11.156408799276583
Oahu,2707011912,12.791098972747335
Oahu,2707011914,15.597417570918212
Oahu,2707011916,16.796263431739373
Oahu,2707011918,27.066187549838887
Oahu,2707011920,25.10945482682864
Oahu,2707011922,6.292634697711984
Oahu,2707021200,4.827825165802053
Oahu,2707021202,3.4974588082886466
Oahu,2707021204,3.5138075366969184
Oahu,2707021206,4.249171513827458
Oahu,2707021208,6.493294788845923
Oahu,2707021210,11.156408799276583
Oahu,2707021212,12.791098972747335
Oahu,2707021214,15.597417570918212
Oahu,2707021216,16.796263431739373
Oahu,2707021218,27.066187549838887
Oahu,2707021220,25.10945482682864
Oahu,2707021222,6.292634697711984
Oahu,2707050200,4.827825165802053
Oahu,2707050202,3.4974588082886466
Oahu,2707050204,3.5138075366969184
Oahu,2707050206,4.249171513827458
Oahu,2707050208,6.493294788845923
Oahu,2707050210,11.156408799276583
Oahu,2707050212,12.791098972747335
Oahu,2707050214,15.597417570918212
Oahu,2707050216,16.796263431739373
Oahu,2707050218,27.066187549838887
Oahu,2707050220,25.10945482682864
Oahu,2707050222,6.292634697711984
Oahu,2707092200,4.827825165802053
Oahu,2707092202,3.4974588082886466
Oahu,2707092204,3.5138075366969184
Oahu,2707092206,4.249171513827458
Oahu,2707092208,6.493294788845923
Oahu,2707092210,11.156408799276583
Oahu,2707092212,12.791098972747335
Oahu,2707092214,15.597417570918212
Oahu,2707092216,16.796263431739373
Oahu,2707092218,27.066187549838887
Oahu,2707092220,25.10945482682864
Oahu,2707092222,6.292634697711984
Oahu,2707102700,4.827825165802053
Oahu,2707102702,3.4974588082886466
Oahu,2707102704,3.5138075366969184
Oahu,2707102706,4.249171513827458
Oahu,2707102708,6.493294788845923
Oahu,2707102710,11.156408799276583
Oahu,2707102712,12.791098972747335
Oahu,2707102714,15.597417570918212
Oahu,2707102716,16.796263431739373
Oahu,2707102718,27.066187549838887
Oahu,2707102720,25.10945482682864
Oahu,2707102722,6.292634697711984
Oahu,2707121500,4.827825165802053
Oahu,2707121502,3.4974588082886466
Oahu,2707121504,3.5138075366969184
Oahu,2707121506,4.249171513827458
Oahu,2707121508,6.493294788845923
Oahu,2707121510,11.156408799276583
Oahu,2707121512,12.791098972747335
Oahu,2707121514,15.597417570918212
Oahu,2707121516,16.796263431739373
Oahu,2707121518,27.066187549838887
Oahu,2707121520,25.10945482682864
Oahu,2707121522,6.292634697711984
Oahu,2708022000,4.827825165802053
Oahu,2708022002,3.4974588082886466
Oahu,2708022004,3.5138075366969184
Oahu,2708022006,4.249171513827458
Oahu,2708022008,6.493294788845923
Oahu,2708022010,11.156408799276583
Oahu,2708022012,12.791098972747335
Oahu,2708022014,15.597417570918212
Oahu,2708022016,16.796263431739373
Oahu,2708022018,27.066187549838887
Oahu,2708022020,25.10945482682864
Oahu,2708022022,6.292634697711984
Oahu,2708041000,4.827825165802053
Oahu,2708041002,3.4974588082886466
Oahu,2708041004,3.5138075366969184
Oahu,2708041006,4.249171513827458
Oahu,2708041008,6.493294788845923
Oahu,2708041010,11.156408799276583
Oahu,2708041012,12.791098972747335
Oahu,2708041014,15.597417570918212
Oahu,2708041016,16.796263431739373
Oahu,2708041018,27.066187549838887
Oahu,2708041020,25.10945482682864
Oahu,2708041022,6.292634697711984
Oahu,2708061700,4.827825165802053
Oahu,2708061702,3.4974588082886466
Oahu,2708061704,3.5138075366969184
Oahu,2708061706,4.249171513827458
Oahu,2708061708,6.493294788845923
Oahu,2708061710,11.156408799276583
Oahu,2708061712,12.791098972747335
Oahu,2708061714,15.597417570918212
Oahu,2708061716,16.796263431739373
Oahu,2708061718,27.066187549838887
Oahu,2708061720,25.10945482682864
Oahu,2708061722,6.292634697711984
Oahu,2708081800,4.827825165802053
Oahu,2708081802,3.4974588082886466
Oahu,2708081804,3.5138075366969184
Oahu,2708081806,4.249171513827458
Oahu,2708081808,6.493294788845923
