period,category,bound,gwh
2030,fossil,min,2111.9
2030,usolar,min,2150.3
2030,wind,min,268.3
2035,fossil,min,1391.1
2035,usolar,min,2071.4
2035,offshore,min,2145.8
2035,wind,min,2476.6
2040,fossil,min,992.6
2040,usolar,min,1995.8
2040,offshore,min,2071.7
2040,wind,min,2609.1
2045,firm,min,1098.8
2045,usolar,min,2353.4
2045,offshore,min,2461.2
2045,wind,min,3106.1
2050,firm,min,1125.1
2050,usolar,min,2409.8
2050,offshore,min,2520.2
2050,wind,min,3180.5
