LOAD_ZONE,PERIOD,ev_share,ice_miles_per_gallon,ev_miles_per_kwh,ev_extra_cost_per_vehicle_year,n_all_vehicles,vmt_per_vehicle
Oahu,2027,0.0559,21.0,3.2258064516129035,750.857012,678700.0,9011.0
Oahu,2030,0.0949,21.0,3.2258064516129035,677.002224,678700.0,9011.0
Oahu,2035,0.2041,21.0,3.2258064516129035,553.910910,678700.0,9011.0
Oahu,2040,0.3819,21.0,3.2258064516129035,430.819597,678700.0,9011.0
Oahu,2045,0.6841,21.0,3.2258064516129035,307.728284,678700.0,9011.0
Oahu,2050,0.9995,21.0,3.2258064516129035,184.636970,678700.0,9011.0
