TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
45070112,2045,2.0,12,168.19119669876204
45070119,2045,2.0,12,107.9436038514443
45070212,2045,2.0,12,120.49518569463547
45070502,2045,2.0,12,97.90233837689135
45070922,2045,2.0,12,203.33562585969736
45071027,2045,2.0,12,183.25309491059147
45071215,2045,2.0,12,95.3920220082531
45080220,2045,2.0,12,170.7015130674003
45080410,2045,2.0,12,115.47455295735902
45080617,2045,2.0,12,148.10866574965613
45080818,2045,2.0,12,180.74277854195321
45080910,2045,2.0,12,203.33562585969736
45081122,2045,2.0,12,30.123796423658867
