TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
27070112,2027,2.0,12,100.91471801925724
27070119,2027,2.0,12,64.76616231086658
27070212,2027,2.0,12,72.29711141678129
27070502,2027,2.0,12,58.741403026134805
27070922,2027,2.0,12,122.00137551581842
27071027,2027,2.0,12,109.9518569463549
27071215,2027,2.0,12,57.23521320495186
27080220,2027,2.0,12,102.42090784044018
27080410,2027,2.0,12,69.28473177441542
27080617,2027,2.0,12,88.86519944979366
27080818,2027,2.0,12,108.44566712517194
27080910,2027,2.0,12,122.00137551581842
27081122,2027,2.0,12,18.074277854195323
30070112,2030,2.0,12,168.19119669876204
30070119,2030,2.0,12,107.9436038514443
30070212,2030,2.0,12,120.49518569463547
30070502,2030,2.0,12,97.90233837689135
30070922,2030,2.0,12,203.33562585969736
30071027,2030,2.0,12,183.25309491059147
30071215,2030,2.0,12,95.3920220082531
30080220,2030,2.0,12,170.7015130674003
30080410,2030,2.0,12,115.47455295735902
30080617,2030,2.0,12,148.10866574965613
30080818,2030,2.0,12,180.74277854195321
30080910,2030,2.0,12,203.33562585969736
30081122,2030,2.0,12,30.123796423658867
35070112,2035,2.0,12,168.19119669876204
35070119,2035,2.0,12,107.9436038514443
35070212,2035,2.0,12,120.49518569463547
35070502,2035,2.0,12,97.90233837689135
35070922,2035,2.0,12,203.33562585969736
35071027,2035,2.0,12,183.25309491059147
35071215,2035,2.0,12,95.3920220082531
35080220,2035,2.0,12,170.7015130674003
35080410,2035,2.0,12,115.47455295735902
35080617,2035,2.0,12,148.10866574965613
35080818,2035,2.0,12,180.74277854195321
35080910,2035,2.0,12,203.33562585969736
35081122,2035,2.0,12,30.123796423658867
40070112,2040,2.0,12,168.19119669876204
40070119,2040,2.0,12,107.9436038514443
40070212,2040,2.0,12,120.49518569463547
40070502,2040,2.0,12,97.90233837689135
40070922,2040,2.0,12,203.33562585969736
40071027,2040,2.0,12,183.25309491059147
40071215,2040,2.0,12,95.3920220082531
40080220,2040,2.0,12,170.7015130674003
40080410,2040,2.0,12,115.47455295735902
40080617,2040,2.0,12,148.10866574965613
40080818,2040,2.0,12,180.74277854195321
40080910,2040,2.0,12,203.33562585969736
40081122,2040,2.0,12,30.123796423658867
45070112,2045,2.0,12,168.19119669876204
45070119,2045,2.0,12,107.9436038514443
45070212,2045,2.0,12,120.49518569463547
45070502,2045,2.0,12,97.90233837689135
45070922,2045,2.0,12,203.33562585969736
45071027,2045,2.0,12,183.25309491059147
45071215,2045,2.0,12,95.3920220082531
45080220,2045,2.0,12,170.7015130674003
45080410,2045,2.0,12,115.47455295735902
45080617,2045,2.0,12,148.10866574965613
45080818,2045,2.0,12,180.74277854195321
45080910,2045,2.0,12,203.33562585969736
45081122,2045,2.0,12,30.123796423658867
50070112,2050,2.0,12,168.19119669876204
50070119,2050,2.0,12,107.9436038514443
50070212,2050,2.0,12,120.49518569463547
50070502,2050,2.0,12,97.90233837689135
50070922,2050,2.0,12,203.33562585969736
50071027,2050,2.0,12,183.25309491059147
50071215,2050,2.0,12,95.3920220082531
50080220,2050,2.0,12,170.7015130674003
50080410,2050,2.0,12,115.47455295735902
50080617,2050,2.0,12,148.10866574965613
50080818,2050,2.0,12,180.74277854195321
50080910,2050,2.0,12,203.33562585969736
50081122,2050,2.0,12,30.123796423658867
