regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_LNG,LNG,container_15,2035,8.703640,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2040,8.565103,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2045,8.649040,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2050,6.920224,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_20,2027,8.217039,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2030,8.527185,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2035,8.703640,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2040,8.565103,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2045,8.649040,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2050,6.920224,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_25,2027,8.217039,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2030,8.527185,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2035,8.703640,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2040,8.565103,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2045,8.649040,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2050,6.920224,24752000.0,1.750591,25.0000000000000000
Hawaii_LSFO,LSFO,base,2027,13.940738,.,0.000000,.
Hawaii_LSFO,LSFO,base,2030,12.872742,.,0.000000,.
Hawaii_LSFO,LSFO,base,2035,12.326709,.,0.000000,.
Hawaii_LSFO,LSFO,base,2040,12.326709,.,0.000000,.
Hawaii_LSFO,LSFO,base,2045,12.326709,.,0.000000,.
Hawaii_LSFO,LSFO,base,2050,12.326709,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2027,25.666945,.,0.000000,.
