scenario,matched_gap,old_npv,new_npv,delta_usd,delta_pct
nlv2s_be_pv17_C6_STATUSQUO_lowbrent,0.001,25386395374.61,25749431094.39,363035719.78,1.4300
nlv2s_be_pv17_C6_STATUSQUO_refbrent,0.001,29363507653.05,29830076677.01,466569023.96,1.5889
nlv2s_be_pv17_lngconv_heco_futbrent,0.001,24454735421.47,24936740742.31,482005320.85,1.9710
nlv2s_be_pv17_lngconv_heco_highbrent,0.001,28898036526.93,29465085678.04,567049151.12,1.9622
nlv2s_be_pv17_lngconv_heco_lowbrent,0.001,22113585676.29,22505679217.53,392093541.24,1.7731
nlv2s_be_pv17_lngconv_heco_refbrent,0.001,26469815949.09,26990041326.38,520225377.29,1.9654
nlv2s_be_pv17_wb_C6_LNG500_futbrent,0.001,26122455460.77,26557382759.36,434927298.59,1.6650
nlv2s_be_pv17_wb_C6_LNG500_highbrent,0.001,30160095849.18,30691650545.33,531554696.16,1.7624
nlv2s_be_pv17_wb_C6_LNG500_lowbrent,0.001,23904040965.94,24282521343.05,378480377.10,1.5833
nlv2s_be_pv17_wb_C6_LNG500_refbrent,0.001,27882038236.65,28360411744.46,478373507.81,1.7157
nlv2s_be_pv17_wb_C6_LNG500_refbrent_j120,0.001,28308947757.39,28786712529.93,477764772.54,1.6877
nlv2s_egs_high_lng_forced_refbrent,0.001,26183561930.33,26516282505.69,332720575.36,1.2707
nlv2s_egs_high_lng_forced_refbrent_adv,0.001,24904178210.45,25090889714.42,186711503.97,0.7497
nlv2s_egs_high_lng_forced_refbrent_j120_adv,0.001,25337547929.34,25520981379.86,183433450.52,0.7240
nlv2s_egs_high_no_lng_futbrent_adv,0.001,23006465074.17,22902529283.09,-103935791.08,-0.4518
nlv2s_egs_high_no_lng_highbrent_adv,0.001,26092636370.23,25762879479.84,-329756890.39,-1.2638
nlv2s_egs_high_no_lng_lowbrent_adv,0.001,19587210187.74,19874885981.83,287675794.09,1.4687
nlv2s_egs_high_no_lng_refbrent_adv,0.001,24641041756.46,24425976171.03,-215065585.43,-0.8728
nlv2s_egs_low_lng_forced_refbrent,0.001,25526181992.46,25878367515.86,352185523.41,1.3797
nlv2s_egs_low_lng_forced_refbrent_adv,0.001,24673791057.32,24628549299.71,-45241757.62,-0.1834
nlv2s_egs_low_lng_forced_refbrent_j120,0.001,25954419317.89,26304060991.36,349641673.47,1.3471
nlv2s_egs_low_lng_forced_refbrent_j120_adv,0.001,25098203615.78,25052637928.68,-45565687.10,-0.1815
nlv2s_egs_low_no_lng_futbrent_adv,0.001,22695091724.14,22415137364.28,-279954359.86,-1.2335
nlv2s_egs_low_no_lng_highbrent,0.001,27065833651.31,26794163254.27,-271670397.04,-1.0037
nlv2s_egs_low_no_lng_highbrent_adv,0.001,25529788865.01,25056565468.33,-473223396.68,-1.8536
nlv2s_egs_low_no_lng_lowbrent_adv,0.001,19398264007.39,19556250245.85,157986238.46,0.8144
nlv2s_egs_low_no_lng_refbrent,0.001,25423034686.56,25309870737.24,-113163949.32,-0.4451
nlv2s_egs_low_no_lng_refbrent_adv,0.001,24195655647.34,23777028467.82,-418627179.51,-1.7302
nlv2s_egs_none_lng_forced_refbrent,0.001,26122797645.69,26517967431.38,395169785.69,1.5127
nlv2s_egs_none_lng_forced_refbrent_adv,0.001,24912050211.99,25084424930.03,172374718.04,0.6919
nlv2s_egs_none_lng_forced_refbrent_j120,0.001,26546784223.16,26951322751.22,404538528.06,1.5239
nlv2s_egs_none_lng_forced_refbrent_j120_adv,0.001,25336724325.76,25517870186.86,181145861.10,0.7150
nlv2s_egs_none_no_lng_refbrent,0.001,25723809829.55,26182024777.80,458214948.25,1.7813
nlv2s_egs_none_no_lng_refbrent_adv,0.001,24641240084.19,24425609277.24,-215630806.95,-0.8751
