scenario,matched_gap,old_npv,new_npv,delta_usd,delta_pct
nlv2s_wr_C4_NOTHERMAL_highbrent_adv,0.001,27472075381.58,26862816842.11,-609258539.46,-2.2177
nlv2s_wr_C4_NOTHERMAL_lowbrent,0.001,22043551070.24,22370822624.66,327271554.42,1.4847
nlv2s_wr_C4_NOTHERMAL_lowbrent_adv,0.001,20955497983.86,21222243223.51,266745239.65,1.2729
nlv2s_wr_C4_NOTHERMAL_refbrent,0.001,26573089528.97,27018339853.72,445250324.75,1.6756
nlv2s_wr_C4_NOTHERMAL_refbrent_adv,0.001,26041055391.64,25521693469.96,-519361921.68,-1.9944
nlv2s_wr_C5_LNG375_refbrent,0.001,26958703273.40,27354564851.94,395861578.54,1.4684
nlv2s_wr_C5_LNG375_refbrent_adv,0.001,26203028294.07,26096977402.92,-106050891.15,-0.4047
nlv2s_wr_C5_LNG375_refbrent_j120,0.001,27302714349.95,27696979042.50,394264692.55,1.4440
nlv2s_wr_C5_LNG375_refbrent_j120_adv,0.001,26546009475.77,26442128219.37,-103881256.40,-0.3913
nlv2s_wr_C6_LNG500_refbrent,0.001,27289684571.88,27667181107.30,377496535.42,1.3833
nlv2s_wr_C6_LNG500_refbrent_adv,0.001,26360656455.21,26430340495.05,69684039.84,0.2643
nlv2s_wr_C6_LNG500_refbrent_j120,0.001,27716290291.71,28090173323.81,373883032.10,1.3490
nlv2s_wr_C6_LNG500_refbrent_j120_adv,0.001,26790516487.69,26859091545.50,68575057.82,0.2560
