cell,efor_cost_npv,baseline_cost_npv,delta,delta_millions
C1_LSFO250_refbrent,26260460557.76,26267942090.42,-7481532.66,-7.5
C4_NOTHERMAL_futbrent,24295179661.91,24299067797.13,-3888135.22,-3.9
C4_NOTHERMAL_refbrent,25836446336.82,25833370452.22,3075884.60,+3.1
lngconv_heco_opt_refbrent,24793962242.08,24786647201.77,7315040.31,+7.3
lngconv_opt_refbrent,25456579309.31,25445052522.10,11526787.21,+11.5
wb_C6_LNG500_futbrent,24750470793.91,24739070888.74,11399905.17,+11.4
wb_C6_LNG500_refbrent,26367300372.01,26371735355.27,-4434983.26,-4.4
wb_C6_LNG500_refbrent_j120,26795251611.58,26792485305.22,2766306.36,+2.8
wr_C4_NOTHERMAL_refbrent,27229134985.42,27232071457.78,-2936472.36,-2.9
