atb_vintage,tech,target_year,value_2024usd
2020,UtilityPV,2022,1561.757725096493
2020,UtilityPV,2023,1497.1493572220834
2020,UtilityPV,2024,1432.540989347673
2020,UtilityPV,2025,1367.9326214732632
2020,UtilityPV,2026,1303.3242535988531
2020,UtilityPV,2027,1238.715885724443
2020,UtilityPV,2028,1174.107517850033
2020,UtilityPV,2029,1109.499149975623
2020,UtilityPV,2030,1044.890782101213
2020,UtilityPV,2031,1035.6089573867866
2020,UtilityPV,2032,1026.3271326723602
2020,UtilityPV,2033,1017.0453079579338
2020,UtilityPV,2034,1007.7634832435074
2020,UtilityPV,2035,998.481658529081
2020,UtilityPV,2036,989.1998338146547
2020,UtilityPV,2037,979.9180091002282
2020,UtilityPV,2038,970.6361843858018
2020,UtilityPV,2039,961.3543596713754
2020,UtilityPV,2040,952.072534956949
2020,UtilityPV,2041,942.7907102425224
2020,UtilityPV,2042,933.508885528096
2020,UtilityPV,2043,924.2270608136696
2020,UtilityPV,2044,914.9452360992432
2020,UtilityPV,2045,905.6634113848168
2020,UtilityPV,2046,896.3815866703903
2020,UtilityPV,2047,887.099761955964
2020,UtilityPV,2048,877.8179372415376
2020,UtilityPV,2049,868.5361125271112
2020,UtilityPV,2050,859.2542878126856
2021,UtilityPV,2022,1541.6780814904482
2021,UtilityPV,2023,1467.978076449102
2021,UtilityPV,2024,1394.2780714077558
2021,UtilityPV,2025,1320.5780663664098
2021,UtilityPV,2026,1246.878061325064
2021,UtilityPV,2027,1173.178056283718
2021,UtilityPV,2028,1099.478051242372
2021,UtilityPV,2029,1025.778046201026
2021,UtilityPV,2030,952.0780411596807
2021,UtilityPV,2031,943.5942106792434
2021,UtilityPV,2032,935.1103801988061
2021,UtilityPV,2033,926.6265497183688
2021,UtilityPV,2034,918.1427192379314
2021,UtilityPV,2035,909.6588887574941
2021,UtilityPV,2036,901.1750582770567
2021,UtilityPV,2037,892.6912277966194
2021,UtilityPV,2038,884.2073973161821
2021,UtilityPV,2039,875.7235668357448
2021,UtilityPV,2040,867.2397363553074
2021,UtilityPV,2041,858.7559058748701
2021,UtilityPV,2042,850.2720753944328
2021,UtilityPV,2043,841.7882449139953
2021,UtilityPV,2044,833.3044144335582
2021,UtilityPV,2045,824.8205839531207
2021,UtilityPV,2046,816.3367534726834
2021,UtilityPV,2047,807.852922992246
2021,UtilityPV,2048,799.3690925118087
2021,UtilityPV,2049,790.8852620313714
2021,UtilityPV,2050,782.4014315509337
2022,UtilityPV,2022,1357.071171375563
2022,UtilityPV,2023,1301.2791239653855
2022,UtilityPV,2024,1245.4870765552082
2022,UtilityPV,2025,1189.695029145031
2022,UtilityPV,2026,1134.7738238584318
2022,UtilityPV,2027,1079.766123464351
2022,UtilityPV,2028,1024.6720540462452
2022,UtilityPV,2029,969.4917412008916
2022,UtilityPV,2030,914.2253100413127
2022,UtilityPV,2031,906.0787798032363
2022,UtilityPV,2032,897.9322495651601
2022,UtilityPV,2033,889.7857193270838
2022,UtilityPV,2034,881.6391890890075
2022,UtilityPV,2035,873.4926588509312
2022,UtilityPV,2036,865.346128612855
2022,UtilityPV,2037,857.1995983747787
2022,UtilityPV,2038,849.0530681367024
2022,UtilityPV,2039,840.906537898626
2022,UtilityPV,2040,832.7600076605497
2022,UtilityPV,2041,824.6134774224735
2022,UtilityPV,2042,816.4669471843972
2022,UtilityPV,2043,808.320416946321
2022,UtilityPV,2044,800.1738867082447
2022,UtilityPV,2045,792.0273564701683
2022,UtilityPV,2046,783.8808262320921
2022,UtilityPV,2047,775.7342959940157
2022,UtilityPV,2048,767.5877657559395
2022,UtilityPV,2049,759.4412355178631
2022,UtilityPV,2050,751.2947052797871
2023,UtilityPV,2022,1589.7137931986397
2023,UtilityPV,2023,1541.270557121045
2023,UtilityPV,2024,1492.8273210434509
2023,UtilityPV,2025,1444.384084965856
2023,UtilityPV,2026,1395.9408488882611
2023,UtilityPV,2027,1347.4976128106666
2023,UtilityPV,2028,1299.054376733072
2023,UtilityPV,2029,1250.6111406554774
2023,UtilityPV,2030,1202.1679045778826
2023,UtilityPV,2031,1153.724668500288
2023,UtilityPV,2032,1105.2814324226936
2023,UtilityPV,2033,1056.8381963450988
2023,UtilityPV,2034,1008.3949602675042
2023,UtilityPV,2035,959.9517241899089
2023,UtilityPV,2036,944.7677839255813
2023,UtilityPV,2037,929.5838436612538
2023,UtilityPV,2038,914.3999033969262
2023,UtilityPV,2039,899.2159631325987
2023,UtilityPV,2040,884.032022868271
2023,UtilityPV,2041,868.8480826039436
2023,UtilityPV,2042,853.6641423396161
2023,UtilityPV,2043,838.4802020752884
2023,UtilityPV,2044,823.296261810961
2023,UtilityPV,2045,808.1123215466334
2023,UtilityPV,2046,792.928381282306
2023,UtilityPV,2047,777.7444410179783
2023,UtilityPV,2048,762.5605007536508
2023,UtilityPV,2049,747.3765604893234
2023,UtilityPV,2050,732.1926202249956
2024,UtilityPV,2022,1589.451312132943
2024,UtilityPV,2023,1726.9059189460424
2024,UtilityPV,2024,1662.9798610751031
2024,UtilityPV,2025,1599.0538032041634
2024,UtilityPV,2026,1535.1277453332239
2024,UtilityPV,2027,1471.2016874622843
2024,UtilityPV,2028,1407.275629591345
2024,UtilityPV,2029,1343.3495717204053
2024,UtilityPV,2030,1279.4235138494657
2024,UtilityPV,2031,1215.4974559785264
2024,UtilityPV,2032,1151.5713981075871
2024,UtilityPV,2033,1087.6453402366476
2024,UtilityPV,2034,1023.7192823657082
2024,UtilityPV,2035,959.7932244947688
2024,UtilityPV,2036,944.6117912834964
2024,UtilityPV,2037,929.4303580722238
2024,UtilityPV,2038,914.2489248609514
2024,UtilityPV,2039,899.067491649679
2024,UtilityPV,2040,883.8860584384065
2024,UtilityPV,2041,868.704625227134
2024,UtilityPV,2042,853.5231920158618
2024,UtilityPV,2043,838.3417588045892
