GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_CentralTrackingPV_Constrained_C_PV_07,2016,5488635.566553291,.,30108.188854486893
Oahu_CentralTrackingPV_Constrained_C_PV_07,2020,2975710.921217797,.,21249.7952300036
Oahu_CentralTrackingPV_Constrained_C_PV_07,2022,2778078.1342744776,.,27151.952446985135
Oahu_CentralTrackingPV_Constrained_C_PV_07,2023,3018324.334159855,.,25384.748540498887
Oahu_CentralTrackingPV_Constrained_C_PV_07,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_07,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_07,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_07,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_07,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_07,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_08,2025,2794861.580408304,.,23993.50951530043
Oahu_CentralTrackingPV_Constrained_C_PV_08,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_08,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_08,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_08,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_08,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_08,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_09,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_09,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_09,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_09,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_09,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_09,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_10,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_10,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_10,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_10,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_10,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_10,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_11,2020,2975710.921217797,.,21249.7952300036
Oahu_CentralTrackingPV_Constrained_C_PV_11,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_11,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_11,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_11,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_11,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_11,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_12,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_12,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_12,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_12,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_12,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_12,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_13,2020,2975710.921217797,.,21249.7952300036
Oahu_CentralTrackingPV_Constrained_C_PV_13,2021,3016700.994895126,.,20437.8878835203
Oahu_CentralTrackingPV_Constrained_C_PV_13,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_13,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_13,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_13,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_13,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_13,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_14,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_14,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_14,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_14,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_14,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_14,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_15,2027,2571398.8266567527,.,22611.4859811663
