timepoint_id,timestamp,timeseries
2707011200,"2027-01-12 00:00",27070112
2707011202,"2027-01-12 02:00",27070112
2707011204,"2027-01-12 04:00",27070112
2707011206,"2027-01-12 06:00",27070112
2707011208,"2027-01-12 08:00",27070112
2707011210,"2027-01-12 10:00",27070112
2707011212,"2027-01-12 12:00",27070112
2707011214,"2027-01-12 14:00",27070112
2707011216,"2027-01-12 16:00",27070112
2707011218,"2027-01-12 18:00",27070112
2707011220,"2027-01-12 20:00",27070112
2707011222,"2027-01-12 22:00",27070112
2707011900,"2027-01-19 00:00",27070119
2707011902,"2027-01-19 02:00",27070119
2707011904,"2027-01-19 04:00",27070119
2707011906,"2027-01-19 06:00",27070119
2707011908,"2027-01-19 08:00",27070119
2707011910,"2027-01-19 10:00",27070119
2707011912,"2027-01-19 12:00",27070119
2707011914,"2027-01-19 14:00",27070119
2707011916,"2027-01-19 16:00",27070119
2707011918,"2027-01-19 18:00",27070119
2707011920,"2027-01-19 20:00",27070119
2707011922,"2027-01-19 22:00",27070119
2707021200,"2027-02-12 00:00",27070212
2707021202,"2027-02-12 02:00",27070212
2707021204,"2027-02-12 04:00",27070212
2707021206,"2027-02-12 06:00",27070212
2707021208,"2027-02-12 08:00",27070212
2707021210,"2027-02-12 10:00",27070212
2707021212,"2027-02-12 12:00",27070212
2707021214,"2027-02-12 14:00",27070212
2707021216,"2027-02-12 16:00",27070212
2707021218,"2027-02-12 18:00",27070212
2707021220,"2027-02-12 20:00",27070212
2707021222,"2027-02-12 22:00",27070212
2708022000,"2027-02-20 00:00",27080220
2708022002,"2027-02-20 02:00",27080220
2708022004,"2027-02-20 04:00",27080220
2708022006,"2027-02-20 06:00",27080220
2708022008,"2027-02-20 08:00",27080220
2708022010,"2027-02-20 10:00",27080220
2708022012,"2027-02-20 12:00",27080220
2708022014,"2027-02-20 14:00",27080220
2708022016,"2027-02-20 16:00",27080220
2708022018,"2027-02-20 18:00",27080220
2708022020,"2027-02-20 20:00",27080220
2708022022,"2027-02-20 22:00",27080220
2708041000,"2027-04-10 00:00",27080410
2708041002,"2027-04-10 02:00",27080410
2708041004,"2027-04-10 04:00",27080410
2708041006,"2027-04-10 06:00",27080410
2708041008,"2027-04-10 08:00",27080410
2708041010,"2027-04-10 10:00",27080410
2708041012,"2027-04-10 12:00",27080410
2708041014,"2027-04-10 14:00",27080410
2708041016,"2027-04-10 16:00",27080410
2708041018,"2027-04-10 18:00",27080410
2708041020,"2027-04-10 20:00",27080410
2708041022,"2027-04-10 22:00",27080410
2707050200,"2027-05-02 00:00",27070502
2707050202,"2027-05-02 02:00",27070502
2707050204,"2027-05-02 04:00",27070502
2707050206,"2027-05-02 06:00",27070502
2707050208,"2027-05-02 08:00",27070502
2707050210,"2027-05-02 10:00",27070502
2707050212,"2027-05-02 12:00",27070502
2707050214,"2027-05-02 14:00",27070502
2707050216,"2027-05-02 16:00",27070502
2707050218,"2027-05-02 18:00",27070502
2707050220,"2027-05-02 20:00",27070502
2707050222,"2027-05-02 22:00",27070502
2708061700,"2027-06-17 00:00",27080617
2708061702,"2027-06-17 02:00",27080617
2708061704,"2027-06-17 04:00",27080617
2708061706,"2027-06-17 06:00",27080617
2708061708,"2027-06-17 08:00",27080617
2708061710,"2027-06-17 10:00",27080617
2708061712,"2027-06-17 12:00",27080617
2708061714,"2027-06-17 14:00",27080617
2708061716,"2027-06-17 16:00",27080617
2708061718,"2027-06-17 18:00",27080617
2708061720,"2027-06-17 20:00",27080617
2708061722,"2027-06-17 22:00",27080617
2708081800,"2027-08-18 00:00",27080818
2708081802,"2027-08-18 02:00",27080818
2708081804,"2027-08-18 04:00",27080818
2708081806,"2027-08-18 06:00",27080818
