regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_LNG,LNG,container_15,2035,16.613494,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2040,18.828711,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2045,21.705798,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2050,22.479342,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_20,2027,10.880928,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2030,13.462355,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2035,16.613494,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2040,18.828711,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2045,21.705798,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_20,2050,22.479342,24752000.0,1.951054,20.0000000000000000
Hawaii_LNG,LNG,container_25,2027,10.880928,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2030,13.462355,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2035,16.613494,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2040,18.828711,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2045,21.705798,24752000.0,1.750591,25.0000000000000000
Hawaii_LNG,LNG,container_25,2050,22.479342,24752000.0,1.750591,25.0000000000000000
Hawaii_LSFO,LSFO,base,2027,16.622193,.,0.000000,.
Hawaii_LSFO,LSFO,base,2030,17.736064,.,0.000000,.
Hawaii_LSFO,LSFO,base,2035,19.827788,.,0.000000,.
Hawaii_LSFO,LSFO,base,2040,21.966145,.,0.000000,.
Hawaii_LSFO,LSFO,base,2045,24.463659,.,0.000000,.
Hawaii_LSFO,LSFO,base,2050,27.965238,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2027,34.330737,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2030,37.725348,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2035,43.700967,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2040,49.739604,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2045,56.263591,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2050,64.144420,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2027,31.520284,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2030,34.649023,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2035,40.181523,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2040,45.777040,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2045,51.857907,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2050,59.295617,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2027,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2030,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2035,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2040,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2045,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2050,16.916493,.,0.000000,.
