timepoint_id,charge_mw,discharge_mw
2707011200,0.0,0.0
2707011202,0.0,0.0
2707011204,0.0,0.0
2707011206,0.0,0.0
2707011208,0.0,0.0
2707011210,47.492245,0.0
2707011212,47.492245,0.0
2707011214,47.492245,0.0
2707011216,0.0,0.0
2707011218,0.0,42.74302
2707011220,0.0,42.74302
2707011222,0.0,42.74302
2707011900,0.0,0.0
2707011902,0.0,0.0
2707011904,0.0,0.0
2707011906,0.0,0.0
2707011908,0.0,0.0
2707011910,51.676354,0.0
2707011912,51.676354,0.0
2707011914,51.676354,0.0
2707011916,0.0,0.0
2707011918,0.0,46.508719
2707011920,0.0,46.508719
2707011922,0.0,46.508719
2707021200,0.0,0.0
2707021202,0.0,0.0
2707021204,0.0,0.0
2707021206,0.0,0.0
2707021208,0.0,0.0
2707021210,55.257037,0.0
2707021212,55.257037,0.0
2707021214,55.257037,0.0
2707021216,0.0,0.0
2707021218,0.0,49.731333
2707021220,0.0,49.731333
2707021222,0.0,49.731333
2708022000,0.0,0.0
2708022002,0.0,0.0
2708022004,0.0,0.0
2708022006,0.0,0.0
2708022008,0.0,0.0
2708022010,55.257037,0.0
2708022012,55.257037,0.0
2708022014,55.257037,0.0
2708022016,0.0,0.0
2708022018,0.0,49.731333
2708022020,0.0,49.731333
2708022022,0.0,49.731333
2708041000,0.0,0.0
2708041002,0.0,0.0
2708041004,0.0,0.0
2708041006,0.0,0.0
2708041008,0.0,0.0
2708041010,55.257037,0.0
2708041012,55.257037,0.0
2708041014,55.257037,0.0
2708041016,0.0,0.0
2708041018,0.0,49.731333
2708041020,0.0,49.731333
2708041022,0.0,49.731333
2707050200,0.0,0.0
2707050202,0.0,0.0
2707050204,0.0,0.0
2707050206,0.0,0.0
2707050208,0.0,0.0
2707050210,55.257037,0.0
2707050212,55.257037,0.0
2707050214,55.257037,0.0
2707050216,0.0,0.0
2707050218,0.0,49.731333
2707050220,0.0,49.731333
2707050222,0.0,49.731333
2708061700,0.0,0.0
2708061702,0.0,0.0
2708061704,0.0,0.0
2708061706,0.0,0.0
2708061708,0.0,0.0
2708061710,55.184525,0.0
2708061712,55.184525,0.0
2708061714,55.184525,0.0
2708061716,0.0,0.0
2708061718,0.0,49.666072
2708061720,0.0,49.666072
2708061722,0.0,49.666072
2708081800,0.0,0.0
2708081802,0.0,0.0
2708081804,0.0,0.0
2708081806,0.0,0.0
2708081808,0.0,0.0
2708081810,53.436904,0.0
2708081812,53.436904,0.0
2708081814,53.436904,0.0
2708081816,0.0,0.0
2708081818,0.0,48.093214
2708081820,0.0,48.093214
2708081822,0.0,48.093214
2708091000,0.0,0.0
2708091002,0.0,0.0
2708091004,0.0,0.0
2708091006,0.0,0.0
2708091008,0.0,0.0
2708091010,55.257037,0.0
2708091012,55.257037,0.0
2708091014,55.257037,0.0
2708091016,0.0,0.0
2708091018,0.0,49.731333
2708091020,0.0,49.731333
2708091022,0.0,49.731333
2707092200,0.0,0.0
2707092202,0.0,0.0
2707092204,0.0,0.0
2707092206,0.0,0.0
2707092208,0.0,0.0
2707092210,55.257037,0.0
2707092212,55.257037,0.0
2707092214,55.257037,0.0
2707092216,0.0,0.0
2707092218,0.0,49.731333
2707092220,0.0,49.731333
2707092222,0.0,49.731333
2707102700,0.0,0.0
2707102702,0.0,0.0
2707102704,0.0,0.0
2707102706,0.0,0.0
2707102708,0.0,0.0
2707102710,46.719958,0.0
2707102712,46.719958,0.0
2707102714,46.719958,0.0
2707102716,0.0,0.0
2707102718,0.0,42.047962
2707102720,0.0,42.047962
2707102722,0.0,42.047962
2708112200,0.0,0.0
2708112202,0.0,0.0
2708112204,0.0,0.0
2708112206,0.0,0.0
