timepoint_id,charge_mw,discharge_mw
2707011200,0.0,0.0
2707011202,0.0,0.0
2707011204,0.0,0.0
2707011206,0.0,0.0
2707011208,0.0,0.0
2707011210,51.809721,0.0
2707011212,51.809721,0.0
2707011214,51.809721,0.0
2707011216,0.0,0.0
2707011218,0.0,46.628749
2707011220,0.0,46.628749
2707011222,0.0,46.628749
2707011900,0.0,0.0
2707011902,0.0,0.0
2707011904,0.0,0.0
2707011906,0.0,0.0
2707011908,0.0,0.0
2707011910,56.374205,0.0
2707011912,56.374205,0.0
2707011914,56.374205,0.0
2707011916,0.0,0.0
2707011918,0.0,50.736784
2707011920,0.0,50.736784
2707011922,0.0,50.736784
2707021200,0.0,0.0
2707021202,0.0,0.0
2707021204,0.0,0.0
2707021206,0.0,0.0
2707021208,0.0,0.0
2707021210,66.502473,0.0
2707021212,66.502473,0.0
2707021214,66.502473,0.0
2707021216,0.0,0.0
2707021218,0.0,59.852226
2707021220,0.0,59.852226
2707021222,0.0,59.852226
2708022000,0.0,0.0
2708022002,0.0,0.0
2708022004,0.0,0.0
2708022006,0.0,0.0
2708022008,0.0,0.0
2708022010,64.904083,0.0
2708022012,64.904083,0.0
2708022014,64.904083,0.0
2708022016,0.0,0.0
2708022018,0.0,58.413675
2708022020,0.0,58.413675
2708022022,0.0,58.413675
2708041000,0.0,0.0
2708041002,0.0,0.0
2708041004,0.0,0.0
2708041006,0.0,0.0
2708041008,0.0,0.0
2708041010,61.931005,0.0
2708041012,61.931005,0.0
2708041014,61.931005,0.0
2708041016,0.0,0.0
2708041018,0.0,55.737905
2708041020,0.0,55.737905
2708041022,0.0,55.737905
2707050200,0.0,0.0
2707050202,0.0,0.0
2707050204,0.0,0.0
2707050206,0.0,0.0
2707050208,0.0,0.0
2707050210,61.711527,0.0
2707050212,61.711527,0.0
2707050214,61.711527,0.0
2707050216,0.0,0.0
2707050218,0.0,55.540374
2707050220,0.0,55.540374
2707050222,0.0,55.540374
2708061700,0.0,0.0
2708061702,0.0,0.0
2708061704,0.0,0.0
2708061706,0.0,0.0
2708061708,0.0,0.0
2708061710,60.2013,0.0
2708061712,60.2013,0.0
2708061714,60.2013,0.0
2708061716,0.0,0.0
2708061718,0.0,54.18117
2708061720,0.0,54.18117
2708061722,0.0,54.18117
2708081800,0.0,0.0
2708081802,0.0,0.0
2708081804,0.0,0.0
2708081806,0.0,0.0
2708081808,0.0,0.0
2708081810,58.294805,0.0
2708081812,58.294805,0.0
2708081814,58.294805,0.0
2708081816,0.0,0.0
2708081818,0.0,52.465324
2708081820,0.0,52.465324
2708081822,0.0,52.465324
2708091000,0.0,0.0
2708091002,0.0,0.0
2708091004,0.0,0.0
2708091006,0.0,0.0
2708091008,0.0,0.0
2708091010,72.252941,0.0
2708091012,72.252941,0.0
2708091014,72.252941,0.0
2708091016,0.0,0.0
2708091018,0.0,65.027647
2708091020,0.0,65.027647
2708091022,0.0,65.027647
2707092200,0.0,0.0
2707092202,0.0,0.0
2707092204,0.0,0.0
2707092206,0.0,0.0
2707092208,0.0,0.0
2707092210,65.591398,0.0
2707092212,65.591398,0.0
2707092214,65.591398,0.0
2707092216,0.0,0.0
2707092218,0.0,59.032259
2707092220,0.0,59.032259
2707092222,0.0,59.032259
2707102700,0.0,0.0
2707102702,0.0,0.0
2707102704,0.0,0.0
2707102706,0.0,0.0
2707102708,0.0,0.0
2707102710,50.967227,0.0
2707102712,50.967227,0.0
2707102714,50.967227,0.0
2707102716,0.0,0.0
2707102718,0.0,45.870504
2707102720,0.0,45.870504
2707102722,0.0,45.870504
2708112200,0.0,0.0
2708112202,0.0,0.0
2708112204,0.0,0.0
2708112206,0.0,0.0
