year,world_demand_mbd,change_mbd,pct_change,episode,basis,source,world_gdp_growth_pct,gdp_source
1986,61.02000045776367,1.7200000286102295,2.900000095367432,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.31,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1987,62.540000915527344,1.5199999809265137,2.490000009536743,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.75,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1988,64.4000015258789,1.8600000143051147,2.970000028610229,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.53,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1989,65.56999969482422,1.1699999570846558,1.8200000524520876,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.64,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1990,66.63999938964844,1.0700000524520874,1.6299999952316284,Gulf War (no world-level decline),EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.71,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1991,66.72000122070312,0.0799999982118606,0.1199999973177909,Gulf War (no world-level decline),EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",1.23,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1992,67.5999984741211,0.8799999952316284,1.3200000524520874,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.06,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1993,67.58999633789062,-0.0099999997764825,-0.0099999997764825,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",1.86,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1994,69.1500015258789,1.559999942779541,2.309999942779541,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.42,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1995,70.41000366210938,1.2599999904632568,1.8200000524520876,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.18,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
