year,g_mwh_day_mw,beta_mwh_day_mw,wedge_mwh_day_mw,wedge_frac,pv_mw_installed,island_induced_gwh_yr
2018,4.11144646294345,3.1249683348639583,0.9864781280794914,0.23993456730390114,505.00698131243314,181.83509468113976
2019,4.532790118253132,3.438422731809183,1.094367386443949,0.24143350075641742,551.8121409972829,220.41810185120127
2020,4.545185018214936,3.461465298409291,1.0837197198056452,0.23843247644762816,595.7900220665346,235.66932945858457
2021,4.66539096720631,3.556708385146182,1.108682582060128,0.23763980121992218,640.224797948873,259.0792199624413
2022,4.749363935242839,3.6228185906949624,1.126545344547877,0.23719920391619256,668.3721956006927,274.8273286634093
2023,4.458451938563719,3.402369567417363,1.0560823711463563,0.2368719873397516,721.7226507093242,278.20247741896486
2024,4.439982687531049,3.3936779103547337,1.046304777176315,0.23565514796142958,765.3377630241907,292.2834435260606
