year,zone,pv_mw_cum,batt_mwh_cum
2006,Central_Wahiawa,0.004952363884853185,0.00046658370206550964
2006,Ewa_PearlHarbor,0.034666547193972296,0.0032660859144585676
2006,Honolulu_South,0.12052286168299908,0.006065588126851625
2006,Kunia_CentralBench,0.004952363884853185,0.00046658370206550964
2006,NorthShore_Waialua,0.004952363884853185,0.00046658370206550964
2006,Waianae_Kahe,0.00990472776970637,0.0009331674041310193
2006,Windward_Koolau,0.054476002733385036,0.005132420722720606
2007,Central_Wahiawa,0.004952363884853185,0.00046658370206550964
2007,Ewa_PearlHarbor,0.26827304257713186,0.006532171828917135
2007,Honolulu_South,0.44920971597187115,0.017730180678489367
2007,Kunia_CentralBench,0.19225098723563525,0.0018663348082620386
2007,NorthShore_Waialua,0.014857091654559555,0.0013997511061965289
2007,Waianae_Kahe,0.00990472776970637,0.0009331674041310193
2007,Windward_Koolau,0.08914254992735733,0.008398506637179174
2008,Central_Wahiawa,0.11679887252659461,0.006532171828917135
2008,Ewa_PearlHarbor,1.0290145168365004,0.05552346054579565
2008,Honolulu_South,1.9799614030949269,0.08445165007385724
2008,Kunia_CentralBench,2.279364158082271,0.029394773230127107
2008,NorthShore_Waialua,0.06309763655988344,0.006065588126851625
2008,Waianae_Kahe,0.043288181020470703,0.004199253318589587
2008,Windward_Koolau,0.49395329454211057,0.04665837020655096
2009,Central_Wahiawa,0.6788021675134418,0.059722713864385234
2009,Ewa_PearlHarbor,7.786134253504896,0.651817431785517
2009,Honolulu_South,8.713053742101687,0.6732802820805304
2009,Kunia_CentralBench,4.66123026203033,0.2500888643071132
2009,NorthShore_Waialua,0.5659916759261049,0.05225737463133708
2009,Waianae_Kahe,0.7297730579494593,0.06205563237471278
2009,Windward_Koolau,3.7170584849162402,0.3326741795727084
2010,Central_Wahiawa,1.710088980527563,0.12177834623909801
2010,Ewa_PearlHarbor,15.330793606187735,1.2733069229367757
2010,Honolulu_South,18.479065097262204,1.4230802912998044
2010,Kunia_CentralBench,7.2786022059584194,0.49551189159357123
2010,NorthShore_Waialua,1.0414186088720108,0.097049410029626
2010,Waianae_Kahe,1.688419071686336,0.1493067846609631
2010,Windward_Koolau,6.829055385493519,0.6200897400450623
2011,Central_Wahiawa,2.8586445862331997,0.20529682890882425
2011,Ewa_PearlHarbor,32.793979870105446,2.3599803650473477
2011,Honolulu_South,37.39761895177748,2.7239156526584454
2011,Kunia_CentralBench,13.083545789659835,0.9910237831871425
2011,NorthShore_Waialua,1.7844885452937584,0.16330429572292837
2011,Waianae_Kahe,3.346873580399885,0.2972138182157296
2011,Windward_Koolau,13.611953486089694,1.1795235988216084
2012,Central_Wahiawa,6.217678066991093,0.5197742441009777
2012,Ewa_PearlHarbor,69.5303832357217,5.078763596983072
2012,Honolulu_South,72.27613049278425,5.401172935110339
2012,Kunia_CentralBench,25.772490645151017,2.1308877673331823
2012,NorthShore_Waialua,4.702385454736004,0.38633130531024196
2012,Waianae_Kahe,10.184988136635793,0.6452852599565998
2012,Windward_Koolau,27.74834789924451,2.500422059369066
2013,Central_Wahiawa,8.78609340878325,0.7997244653402835
2013,Ewa_PearlHarbor,94.51321293836938,7.616045768815314
2013,Honolulu_South,94.42924217934944,7.33073772026682
2013,Kunia_CentralBench,32.87534710039171,2.925946395652811
2013,NorthShore_Waialua,7.373303417807343,0.5864957134963457
2013,Waianae_Kahe,15.993120974973232,0.99335670169747
2013,Windward_Koolau,36.68845884202162,3.4839805033231603
2014,Central_Wahiawa,10.292241294616764,0.9532305033198362
2014,Ewa_PearlHarbor,108.22837290981872,8.931345224937985
2014,Honolulu_South,108.03754600908265,8.437007677864143
2014,Kunia_CentralBench,36.169367292338464,3.264686163352371
2014,NorthShore_Waialua,10.56085963322322,0.7558655973461256
2014,Waianae_Kahe,18.42335757924951,1.1347315634233195
2014,Windward_Koolau,42.736467092090955,4.058345040565803
2015,Central_Wahiawa,13.50685449752609,1.0960051161518822
2015,Ewa_PearlHarbor,128.08729365412452,10.524969744607299
2015,Honolulu_South,126.38535540751613,9.650125303234468
2015,Kunia_CentralBench,42.16810276607669,3.6640818123204473
2015,NorthShore_Waialua,12.032986873196489,0.8757776087769615
2015,Waianae_Kahe,22.134175310749693,1.2910371036152652
2015,Windward_Koolau,49.8042645639164,4.672369192484013
2016,Central_Wahiawa,14.983174534352797,1.239841370210423
2016,Ewa_PearlHarbor,143.33326470024494,11.651108935865231
2016,Honolulu_South,141.75144994025032,10.556262393703948
2016,Kunia_CentralBench,45.888795968000814,4.016480981202271
2016,NorthShore_Waialua,12.881487323038492,0.9568504696431264
2016,Waianae_Kahe,27.72806558858579,1.4558696242667537
2016,Windward_Koolau,54.37722221209763,5.059182852025451
2017,Central_Wahiawa,15.963318356562398,1.4509603005411758
2017,Ewa_PearlHarbor,154.4874201287609,14.206256154395044
2017,Honolulu_South,154.3122408139206,12.735218267241102
2017,Kunia_CentralBench,48.26504069042667,4.668951420208013
2017,NorthShore_Waialua,14.71409463401776,1.2496368051224012
2017,Waianae_Kahe,29.747441193968648,1.891139517664726
2017,Windward_Koolau,58.6858882574732,6.193838502280444
2018,Central_Wahiawa,17.035639981993306,1.59865667155446
2018,Ewa_PearlHarbor,165.35088587080702,16.81440030605315
2018,Honolulu_South,161.92394634757215,14.545802015427478
2018,Kunia_CentralBench,51.28092840790275,5.174594290382903
2018,NorthShore_Waialua,16.533568897486166,1.5311287122300716
2018,Waianae_Kahe,32.02513310744461,2.416764838035531
2018,Windward_Koolau,60.85687869922318,7.022675784319697
2019,Central_Wahiawa,17.783850194645606,1.843658887000025
2019,Ewa_PearlHarbor,182.17527480253304,20.106291775284525
2019,Honolulu_South,174.10310259648014,17.427618854551376
2019,Kunia_CentralBench,54.65900529541047,6.260597018421756
2019,NorthShore_Waialua,22.501228301241138,1.788294158229672
2019,Waianae_Kahe,35.264966476734855,2.8893932252780394
2019,Windward_Koolau,65.32471333023462,8.35715593653384
2020,Central_Wahiawa,18.81606540669257,2.139051629026593
2020,Ewa_PearlHarbor,197.82311444133728,23.745704117488327
2020,Honolulu_South,184.75466527270493,20.16782093793901
2020,Kunia_CentralBench,59.721975164882,7.390039855582163
2020,NorthShore_Waialua,26.554304363127958,2.084555702438671
2020,Waianae_Kahe,36.699355616592335,3.3646280190678417
2020,Windward_Koolau,71.4205418011933,9.900148612531442
2021,Central_Wahiawa,20.19328893060286,3.0786611893258087
2021,Ewa_PearlHarbor,214.3040054552154,32.63572244921438
2021,Honolulu_South,197.73696956074025,28.55045879512531
2021,Kunia_CentralBench,64.89823211685405,10.391316994790337
2021,NorthShore_Waialua,27.54129875098859,2.734854135988336
2021,Waianae_Kahe,38.49513263475268,4.772956356788626
2021,Windward_Koolau,77.05587049971415,14.361882220406265
2022,Central_Wahiawa,21.016040667682834,4.460056659391229
2022,Ewa_PearlHarbor,223.0382328564101,44.75811930067527
2022,Honolulu_South,208.6732383902787,41.42610713875395
2022,Kunia_CentralBench,67.49093185949218,15.004656583499385
2022,NorthShore_Waialua,27.918024875654567,3.406003821916347
2022,Waianae_Kahe,39.68218479671719,6.864597610991456
2022,Windward_Koolau,80.55354215445111,20.68893411396062
