year,quarter,hour,load_anom,load_mw,pv_mw_cum,batt_mwh_cum,n
2006,1,0,-3.2444630723065995,672.3110710687155,0.026302554855109142,0.002478077884303484,90
2006,1,1,-37.12207051354184,638.4334636274803,0.026302554855109142,0.002478077884303484,90
2006,1,2,-53.84454128179864,621.7109928592236,0.026302554855109142,0.002478077884303484,90
2006,1,3,-48.23327548341453,627.3222586576076,0.026302554855109142,0.002478077884303484,90
2006,1,4,0.0,675.5555341410221,0.026302554855109142,0.002478077884303484,90
2006,1,5,102.05560190483453,777.6111360458567,0.026302554855109142,0.002478077884303484,90
2006,1,6,202.044448685471,877.599982826493,0.026302554855109142,0.002478077884303484,90
2006,1,7,247.13333499958304,922.6888691406052,0.026302554855109142,0.002478077884303484,90
2006,1,8,311.8667576312878,987.4222917723099,0.026302554855109142,0.002478077884303484,90
2006,1,9,351.8731361807556,1027.4286703217779,0.026302554855109142,0.002478077884303484,90
2006,1,10,368.1000141760409,1043.655548317063,0.026302554855109142,0.002478077884303484,90
2006,1,11,373.4000480366798,1048.955582177702,0.026302554855109142,0.002478077884303484,90
2006,1,12,372.54446590653225,1048.1000000475544,0.026302554855109142,0.002478077884303484,90
2006,1,13,366.0555598349981,1041.6110939760204,0.026302554855109142,0.002478077884303484,90
2006,1,14,360.592308148798,1036.1478422898201,0.026302554855109142,0.002478077884303484,90
2006,1,15,361.88890948269807,1037.4444436237202,0.026302554855109142,0.002478077884303484,90
2006,1,16,363.84446326793227,1039.3999974089543,0.026302554855109142,0.002478077884303484,90
2006,1,17,384.37779291331884,1059.933327054341,0.026302554855109142,0.002478077884303484,90
2006,1,18,434.9111418859819,1110.466676027004,0.026302554855109142,0.002478077884303484,90
2006,1,19,391.37779603615775,1066.9333301771799,0.026302554855109142,0.002478077884303484,90
2006,1,20,333.42225562215975,1008.9777897631819,0.026302554855109142,0.002478077884303484,90
2006,1,21,253.4666757203328,929.0222098613549,0.026302554855109142,0.002478077884303484,90
2006,1,22,149.5000130568855,825.0555471979077,0.026302554855109142,0.002478077884303484,90
2006,1,23,53.20003095097344,728.7555650919955,0.026302554855109142,0.002478077884303484,90
2006,2,0,4.78727206143844,698.6816600622311,0.038693744199237524,0.0036455056282261246,91
2006,2,1,-29.96137724586197,663.9330107549307,0.038693744199237524,0.0036455056282261246,91
2006,2,2,-47.12034685116232,646.7740411496303,0.038693744199237524,0.0036455056282261246,91
2006,2,3,-42.94131073924245,650.9530772615502,0.038693744199237524,0.0036455056282261246,91
2006,2,4,0.0,693.8943880007927,0.038693744199237524,0.0036455056282261246,91
2006,2,5,95.52883574850081,789.4232237492935,0.038693744199237524,0.0036455056282261246,91
2006,2,6,191.68811566963524,885.5825036704279,0.038693744199237524,0.0036455056282261246,91
2006,2,7,265.8375153023045,959.7319033030972,0.038693744199237524,0.0036455056282261246,91
2006,2,8,331.99346277305744,1025.88785077385,0.038693744199237524,0.0036455056282261246,91
2006,2,9,368.7621911906102,1062.656579191403,0.038693744199237524,0.0036455056282261246,91
2006,2,10,385.6642272438741,1079.5586152446667,0.038693744199237524,0.0036455056282261246,91
2006,2,11,390.27418273210156,1084.1685707328943,0.038693744199237524,0.0036455056282261246,91
2006,2,12,393.55733196709997,1087.4517199678926,0.038693744199237524,0.0036455056282261246,91
2006,2,13,391.8418817249486,1085.7362697257413,0.038693744199237524,0.0036455056282261246,91
