hour,beta_pv,se_pv,beta_batt,se_batt,n,r2
0,0.2164440840012664,0.016463024508240363,-0.026137067287808013,0.07612779696031619,76,0.8980249849539271
1,0.17785280686345611,0.012048588806034549,-0.04026462108152408,0.05571464027365532,76,0.9141394830975371
2,0.14169320962325277,0.00891221544589488,-0.04663774046205152,0.041211538181189715,76,0.9222597547608685
3,0.09193611565783052,0.0056615087889118985,-0.03559710669396851,0.02617974027152304,76,0.9236265318866499
4,0.0,0.0,0.0,0.0,76,
5,-0.12876956289098104,0.007471471553645999,0.016041164010423922,0.034549303377151196,76,0.9376441207298438
6,-0.16780733758244712,0.012958276030749089,-0.199571263750272,0.05992118240920615,76,0.9305480827743622
7,-0.17301071633652815,0.015563193911677294,-0.21770177295317067,0.07196674766292599,76,0.9097863618471699
8,-0.3424210349285991,0.012983837530298373,0.4231827034871251,0.060039382953283996,76,0.9579377430576431
9,-0.48556557190737004,0.01595797830109953,0.7096475946442311,0.07379229508564972,76,0.9650259492088393
10,-0.5848944994783549,0.017161074938906423,0.8317937067736397,0.07935561021482762,76,0.9722874400157804
11,-0.6445909166477313,0.01632181188716983,0.8674866311154947,0.07547472094428873,76,0.9798290863477128
12,-0.6535707566714881,0.015040615603822124,0.7561937467759238,0.06955026031277392,76,0.9845168288035541
13,-0.6132597034212028,0.015602919802950449,0.5349012297600272,0.07215044666514653,76,0.9832131159625604
14,-0.5519972371919348,0.016477248272826032,0.2984322029664434,0.07619348414981326,76,0.9798941168578497
15,-0.44385968697983247,0.018557980111886262,-0.04013247241363995,0.08581512762901637,76,0.9694941661328925
16,-0.28004834933885836,0.02131085826283295,-0.4099498329934494,0.09854488530988118,76,0.9392338734687282
17,-0.1404760860280972,0.019720023948164658,-0.5973859195199442,0.0911886079064778,76,0.9088669436591953
18,-0.05450680654149962,0.019141016299301313,-0.5886985927898347,0.08851118207749117,76,0.8430250492290757
19,0.03944061718861834,0.018472425179710567,-0.5146887296817294,0.08541950766500711,76,0.5381534606914999
20,0.1379319132042086,0.01980485248088297,-0.605916747175707,0.09158086888088966,76,0.44582986713968875
21,0.2002109143930655,0.02192429402005171,-0.5215502089982298,0.10138151232858422,76,0.6284220532896854
22,0.26181392604211495,0.024267346566194253,-0.37364472734383863,0.1122161695529408,76,0.781475040103584
23,0.26500062951735415,0.021453802867725157,-0.15996404273712167,0.09920588448321511,76,0.8662887970714626
