date,ghi_midday,temp_midday,temp_evening
2007-01-01,518.6709401709402,25.98128205128205,24.831837606837592
2007-01-02,565.2803418803419,25.640940170940162,24.87980769230771
2007-01-03,531.4982905982906,25.264871794871798,24.465705128205137
2007-01-04,467.4307692307692,24.83384615384615,24.18942307692305
2007-01-05,491.3282051282052,24.754700854700843,24.21335470085467
2007-01-06,468.4316239316239,25.58538461538462,24.590811965811966
2007-01-07,433.3974358974359,25.521709401709405,24.965811965811962
2007-01-08,200.15641025641025,24.55837606837607,23.572970085470107
2007-01-09,515.276923076923,25.46025641025641,24.928418803418808
2007-01-10,446.68974358974356,25.475897435897437,24.91645299145302
2007-01-11,592.7931623931624,25.286410256410257,24.722649572649555
2007-01-12,635.7931623931624,25.238461538461546,24.266773504273488
2007-01-13,604.1239316239316,24.48350427350427,23.894337606837624
2007-01-14,660.8632478632478,25.24162393162394,24.322222222222223
2007-01-15,612.7128205128205,24.88982905982906,24.119123931623896
2007-01-16,670.0059829059829,25.010341880341876,23.96239316239317
2007-01-17,587.2538461538462,25.07837606837607,24.371794871794872
2007-01-18,622.859829059829,25.141965811965814,24.438782051282068
2007-01-19,532.4418803418803,25.210940170940177,24.34679487179487
2007-01-20,563.8316239316239,25.055470085470088,24.426282051282065
2007-01-21,663.5683760683761,25.0908547008547,24.655876068376074
2007-01-22,693.4760683760684,24.94615384615384,24.309401709401705
2007-01-23,316.26410256410253,23.96136752136752,23.37649572649575
2007-01-24,674.0564102564102,24.959658119658123,24.387713675213668
2007-01-25,660.5529914529914,24.675555555555547,24.089957264957274
2007-01-26,692.974358974359,24.845641025641022,23.547863247863244
2007-01-27,703.7752136752136,24.44854700854701,23.93728632478633
2007-01-28,544.3564102564103,24.632735042735035,24.23931623931623
2007-01-29,570.4341880341881,24.86,24.400000000000027
2007-01-30,388.2307692307692,25.07649572649573,24.566025641025615
2007-01-31,607.1341880341881,25.59752136752137,24.87927350427352
2007-02-01,350.7452991452991,24.848119658119664,21.99615384615384
2007-02-02,679.9470085470086,23.285299145299145,22.640491452991462
2007-02-03,708.4478632478633,22.458290598290596,21.627029914529924
2007-02-04,709.2059829059829,22.884529914529914,22.781089743589742
2007-02-05,697.2136752136752,24.421025641025636,23.738354700854696
2007-02-06,603.9940170940171,24.77444444444445,24.221474358974362
2007-02-07,265.2452991452991,24.670598290598292,22.92307692307692
2007-02-08,566.6179487179487,23.65051282051282,22.517628205128204
2007-02-09,458.4,23.232393162393162,22.86826923076923
2007-02-10,674.9948717948718,23.531880341880342,22.60202991452992
2007-02-11,751.0521367521367,23.674188034188035,22.532051282051295
2007-02-12,790.9641025641025,24.390000000000004,23.711645299145317
2007-02-13,794.1452991452991,24.650940170940167,23.958867521367523
2007-02-14,706.2401709401709,24.89666666666667,24.628098290598288
2007-02-15,678.551282051282,25.227777777777785,24.166239316239313
2007-02-16,598.5957264957265,24.509487179487184,23.952670940170968
2007-02-17,685.8811965811966,25.115213675213674,23.939529914529935
2007-02-18,695.5495726495726,24.99982905982906,23.795940170940153
2007-02-19,605.7136752136752,24.525811965811965,23.59230769230769
2007-02-20,623.0752136752137,24.50649572649572,23.533974358974366
2007-02-21,621.3059829059829,24.31324786324786,23.071794871794886
2007-02-22,636.1196581196581,24.295641025641025,23.60149572649572
2007-02-23,660.7162393162394,25.025555555555563,23.880448717948713
2007-02-24,685.5641025641025,24.689230769230768,23.844658119658106
2007-02-25,672.2213675213675,24.71649572649573,23.940384615384612
2007-02-26,749.731623931624,24.62145299145299,24.064529914529928
2007-02-27,560.034188034188,24.719572649572648,24.015705128205134
2007-02-28,723.6017094017094,24.79888888888889,24.100213675213684
2007-03-01,739.0923076923077,24.912136752136753,23.91346153846154
2007-03-02,789.6991452991454,24.675213675213673,24.291132478632477
2007-03-03,708.0418803418803,24.79615384615385,24.4094017094017
2007-03-04,729.6683760683761,25.09470085470085,24.25202991452992
2007-03-05,664.5726495726497,25.015811965811963,24.713888888888896
2007-03-06,816.2205128205128,25.803589743589743,25.37649572649573
2007-03-07,775.3837606837607,25.876752136752135,25.440491452991452
2007-03-08,486.7102564102564,25.330341880341884,24.84925213675213
2007-03-09,583.9504273504274,26.017521367521375,24.84561965811966
2007-03-10,602.4358974358975,24.934871794871803,23.87542735042735
2007-03-11,711.4435897435898,25.07333333333333,25.022329059829055
2007-03-12,570.0769230769231,25.99786324786325,25.22596153846154
2007-03-13,382.3940170940171,25.01863247863246,24.030235042735033
2007-03-14,543.3811965811966,25.22888888888889,24.777029914529912
2007-03-15,504.3974358974359,25.56025641025641,24.550747863247857
2007-03-16,605.2350427350427,25.277863247863255,24.138141025641037
2007-03-17,681.0470085470085,25.263247863247866,24.211111111111123
