date,load_day,pv_mw,batt_mwh,year,quarter,ghi_midday,temp_day,season,t_years,lowsun,lowsun_x_pv,yearF,era
2013-01-01,823.4150024414063,216.43630798111036,16.663103751865556,2013,1,244.41666666666669,23.406328914141415,1,-5.501026694045095,1,216.43630798111036,2013,2013-16
2013-01-02,933.8809875488281,216.71897643399072,16.672902009608933,2013,1,454.8681818181818,23.46081912878788,1,-5.501026694045095,1,216.71897643399072,2013,2013-16
2013-01-03,927.9779968261719,216.94751584038463,16.693431692499814,2013,1,363.3984848484848,23.424076704545453,1,-5.501026694045095,1,216.94751584038463,2013,2013-16
2013-01-04,911.4059997558594,217.26584440819641,16.718160628709285,2013,1,416.3227272727272,23.38749210858586,1,-5.501026694045095,1,217.26584440819641,2013,2013-16
2013-01-05,838.8189819335937,217.2736525078875,16.719093796113416,2013,1,451.9121212121212,23.66062184343434,1,-5.501026694045095,1,217.2736525078875,2013,2013-16
2013-01-06,813.5100158691406,217.2814606075786,16.720026963517547,2013,1,579.7359848484848,24.07690183080808,1,-5.501026694045095,1,217.2814606075786,2013,2013-16
2013-01-07,939.943017578125,217.42039529156213,16.73635739308984,2013,1,540.3454545454545,23.96559343434343,1,-5.501026694045095,1,217.42039529156213,2013,2013-16
2013-01-08,920.7279968261719,217.56094108600198,16.7531544063642,2013,1,522.3246212121212,23.771188446969703,1,-5.501026694045095,1,217.56094108600198,2013,2013-16
2013-01-09,925.1820129394531,217.87155719232328,16.78534868180672,2013,1,612.8068181818182,23.91828440656566,1,-5.501026694045095,0,0.0,2013,2013-16
2013-01-10,921.293994140625,218.06434718781975,16.800279360272818,2013,1,604.4117424242424,24.105516098484852,1,-5.501026694045095,0,0.0,2013,2013-16
2013-01-11,916.2639770507812,218.643416123604,16.814743455036847,2013,1,634.2424242424242,23.742858270202024,1,-5.501026694045095,0,0.0,2013,2013-16
2013-01-12,862.102978515625,218.7644416688161,16.829207549800877,2013,1,537.8030303030303,23.798358585858583,1,-5.501026694045095,1,218.7644416688161,2013,2013-16
2013-01-13,827.7289855957031,218.83081051619047,16.83713947273599,2013,1,500.5295454545454,24.000086805555565,1,-5.501026694045095,1,218.83081051619047,2013,2013-16
2013-01-14,959.1100219726562,219.05724540723244,16.864201327455792,2013,1,178.6746212121212,23.76602746212122,1,-5.501026694045095,1,219.05724540723244,2013,2013-16
